Sample_name,Type_general,Type_details
m21/14_0-1,end members,beach deposits
m21/15,event and lagoon deposits,other
m21/15_0-1,event and lagoon deposits,other
m21/15_10-11,event and lagoon deposits,other
m21/15_15-16,event and lagoon deposits,other
m21/15_20-21,event and lagoon deposits,other
m21/15_21-22,event and lagoon deposits,other
m21/15_22-23,event and lagoon deposits,other
m21/15_25-26,event and lagoon deposits,storm
m21/15_26-27,event and lagoon deposits,other
m21/15_27-28,event and lagoon deposits,storm
m21/15_28-30,event and lagoon deposits,other
m21/15_30-31,event and lagoon deposits,storm
m21/15_35-36,event and lagoon deposits,other
m21/15_45-46,event and lagoon deposits,other
m21/15_48-49,event and lagoon deposits,tsunami
m21/15_50-51,event and lagoon deposits,tsunami
m21/15_51-52,event and lagoon deposits,other
m21/15_5-6,event and lagoon deposits,other
m21/16,event and lagoon deposits,other
m21/16_10-11,event and lagoon deposits,other
m21/16_1-2,event and lagoon deposits,other
m21/16_13-14,event and lagoon deposits,other
m21/16_24-26,event and lagoon deposits,other
m21/16_36-38,event and lagoon deposits,other
m21/16_46-48,event and lagoon deposits,storm
m21/16_58-60,event and lagoon deposits,other
m21/17,event and lagoon deposits,other
m21/17_17-18,event and lagoon deposits,other
m21/17_17-19,event and lagoon deposits,other
m21/17_23-25,event and lagoon deposits,other
m21/17_30-31,event and lagoon deposits,other
m21/17_40-42,event and lagoon deposits,other
m21/17_51-53,event and lagoon deposits,other
m21/17_60-62,event and lagoon deposits,tsunami
m21/17_65-66,event and lagoon deposits,tsunami
m21/17_70-71,event and lagoon deposits,other
m21/17_7-8,event and lagoon deposits,other
m21/18,end members,beach deposits
m21/19,end members,beach deposits
m21/20,end members,beach deposits
m21/21,end members,beach deposits
m21/22,end members,beach deposits
m21/23_23-26,event and lagoon deposits,other
m21/23_37-39,event and lagoon deposits,other
m21/25a,event and lagoon deposits,other
m21/25a_45-47,event and lagoon deposits,storm
m21/25a_72-74,event and lagoon deposits,storm
m21/25a_93-95,event and lagoon deposits,tsunami
m21/25b,event and lagoon deposits,other
m21/25b_44-49,event and lagoon deposits,storm
m21/25b_54-56,event and lagoon deposits,storm
m21/25c,event and lagoon deposits,other
m21/25c_20-24,event and lagoon deposits,storm
m21/25c_65-67,event and lagoon deposits,storm
m21/25d,event and lagoon deposits,other
m21/25d_28-32,event and lagoon deposits,storm
m21/25d_68-72,event and lagoon deposits,storm
m21/26,event and lagoon deposits,other
"m21/26_0,5-4",event and lagoon deposits,other
"m21/26_0-0,5",event and lagoon deposits,other
m21/26_14-18,event and lagoon deposits,tsunami
m21/26_24-28,event and lagoon deposits,tsunami
m21/26_34-37,event and lagoon deposits,tsunami
m21/26_41-44,event and lagoon deposits,tsunami
m21/26_49-53,event and lagoon deposits,tsunami
m21/26_5-7,event and lagoon deposits,tsunami
m21/26_57-59,event and lagoon deposits,other
m21/26_63-66,event and lagoon deposits,other
m21/26_70-72,event and lagoon deposits,other
m21/26_90-93,event and lagoon deposits,other
m21/26_9-12,event and lagoon deposits,tsunami
m21/27,event and lagoon deposits,other
"m21/27_0-2,5",event and lagoon deposits,other
m21/27_17-19,event and lagoon deposits,other
"m21/27_2,5-2,8",event and lagoon deposits,other
m21/27_22-25,event and lagoon deposits,other
m21/27_29-30,event and lagoon deposits,other
m21/27_32-34,event and lagoon deposits,other
m21/27_36-38,event and lagoon deposits,other
m21/27_41-43,event and lagoon deposits,tsunami
m21/27_47-49,event and lagoon deposits,tsunami
m21/27_55-56,event and lagoon deposits,other
m21/27_68-70,event and lagoon deposits,other
m21/27_8-10,event and lagoon deposits,other
m21/28_0-5,event and lagoon deposits,other
m21/28_15-17,event and lagoon deposits,other
m21/28_20-25,event and lagoon deposits,other
m21/28_26-27,event and lagoon deposits,other
m21/28_32-33,event and lagoon deposits,other
m21/28_33-34,event and lagoon deposits,other
m21/28_35-37,event and lagoon deposits,other
m21/28_46-48,event and lagoon deposits,other
m21/28_50-51,event and lagoon deposits,other
m21/28_52-53,event and lagoon deposits,other
m21/28_55-56,event and lagoon deposits,other
m21/28_57-59,event and lagoon deposits,other
m21/28_61-62,event and lagoon deposits,other
m21/28_64-65,event and lagoon deposits,other
m21/29,event and lagoon deposits,other
m21/30_13-14,event and lagoon deposits,other
m21/30_16-19,event and lagoon deposits,tsunami
m21/30_19-23,event and lagoon deposits,tsunami
m21/30_23-25,event and lagoon deposits,other
m21/31_11-13,event and lagoon deposits,other
m21/31_15-19,event and lagoon deposits,other
m21/31_21-27,event and lagoon deposits,other
m21/31_30-32,event and lagoon deposits,other
m21/31_35-37,event and lagoon deposits,other
m21/31_39-41,event and lagoon deposits,other
m21/33,end members,other
m21/34a,end members,other
m21/34b,end members,other
m21/35,end members,other
m21/36,end members,beach deposits
m21/37,end members,dune deposits
m21/38,end members,dune deposits
m21/39,end members,dune deposits
m21/40_0-1,event and lagoon deposits,other
m21/40_15-19,event and lagoon deposits,storm
m21/40_25-28,event and lagoon deposits,storm
m21/41,end members,marine deposits
m21/42,end members,marine deposits
m21/43,end members,marine deposits
m21/44,end members,marine deposits
m21/45,end members,marine deposits
m21/46,end members,marine deposits
m21/47,end members,marine deposits
m21/48,end members,marine deposits
m21/49,end members,marine deposits
m21/50,end members,marine deposits
m21/51,end members,marine deposits
m21/51_1,end members,marine deposits
m21/52,end members,marine deposits
m21/53,end members,marine deposits
m21/54,end members,marine deposits
m21/55,end members,marine deposits
m21/56,end members,marine deposits
m21/57,end members,marine deposits
m21/58,end members,marine deposits
m21/59,end members,beach deposits
m21/60,end members,dune deposits
m21/61_30-31,event and lagoon deposits,storm
m21/62_18-19,event and lagoon deposits,storm
m21/62_35-38,event and lagoon deposits,storm
m21/62_51-55,event and lagoon deposits,tsunami
m21/63_34-37,event and lagoon deposits,storm
m21/63_54-58,event and lagoon deposits,tsunami
